NO,개설부서,교과목-분반,교과목명,이수구분,세부분류,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
351,수학부전공,MM2001-06,다변수해석학과 응용,필수,,교과,"유현주[61585]
최정옥[61376]",학사,3/1/3,"월 13:00~14:30
화 17:30~18:30
수 13:00~14:30",,35,view,,English/Korean
352,수학부전공,MM2002-01,미분방정식과 응용,필수,,교과,"송정민[61101]
유현주[61585]",학사,3/1/3,"월 09:00~10:30
월 18:30~19:30
수 09:00~10:30",,30,view,,English/Korean
353,수학부전공,MM2002-02,미분방정식과 응용,필수,,교과,"유현주[61585]
황치옥[60934]",학사,3/1/3,"월 10:30~12:00
화 18:30~19:30
수 10:30~12:00",,30,view,,English/Korean
354,수학부전공,MM2004-01,선형대수학과 응용,필수,,교과,"김재길[62813]
유현주[61585]",학사,3/1/3,"월 14:30~16:00
수 14:30~16:00
금 10:00~11:00",,30,view,,English/Korean
355,수학부전공,MM2004-02,선형대수학과 응용,필수,,교과,"김재길[62813]
유현주[61585]",학사,3/1/3,"월 13:00~14:30
수 13:00~14:30
금 11:00~12:00",,30,view,,English/Korean
356,수학부전공,MM2004-03,선형대수학과 응용,필수,,교과,"유현주[61585]
황치옥[60934]",학사,3/1/3,"월 09:00~10:30
수 09:00~10:30
금 13:00~14:00",,30,view,,English/Korean
357,수학부전공,MM3016-01,푸리에 해석학,선택,,교과,김홍종[63637],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,30,view,,English/Korean
358,수학부전공,MM4005-01,과학계산 프로그래밍,선택,,교과,황치옥[60934],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,English/Korean
359,수학부전공,MM4006-01,정수론과 응용,선택,,교과,송정민[61101],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,English/Korean
360,수학부전공,MM4007-01,기하학 I,선택,,교과,강현석[61973],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,English/Korean
361,수학부전공,MM4009-01,그래프 이론,선택,,교과,최정옥[61376],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English/Korean
362,인문학·사회과학 부전공,PP2616-01,장기 19세기 서양 역사,선택,,교과,김동혁[62921],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,30,view,,Korean
363,인문학·사회과학 부전공,PP2724-01,거시경제학원론,선택,,교과,김상호[61574],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English
364,인문학·사회과학 부전공,PP2763-01,현대법학의 이해,필수,,교과,김건우[61974],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,25,view,,Korean
365,인문학·사회과학 부전공,PP2765-01,헌법과 국가,필수,,교과,김건우[61974],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",,20,view,,Korean
366,인문학·사회과학 부전공,PP2788-01,민주주의론,선택,,교과,김혜림[64283],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,Korean
367,인문학·사회과학 부전공,PP3767-01,(MOOC 지정) 인공지능 로봇의 윤리,선택,,교과,김건우[61974],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,20,view,,Korean
368,인문학·사회과학 부전공,PP3831-01,과학기술학의 이해: 과학사회논쟁의 쟁점과 윤리,선택,,교과,하대청[62922],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,25,view,,Korean
369,물리광과학과,PS2103-01,전자기학 및 연습Ⅱ,필수,,교과,방우석[62486],학사,3/1/3,"화 10:30~12:00
화 19:00~20:00
목 10:30~12:00",자연과학동(201),0,view,,English
370,물리광과학과,PS2202-01,고전역학 및 연습Ⅱ,선택,,교과,조병익[61575],학사,3/1/3,"화 14:30~16:00
수 19:00~20:00
목 14:30~16:00",자연과학동(202),0,view,,English
371,물리광과학과,PS3104-01,양자물리 및 연습 II,필수,,교과,양현석[63524],학사,3/1/3,"월 10:30~12:00
월 19:00~20:00
수 10:30~12:00",자연과학동(202),0,view,,English
372,물리광과학과,PS3105-01,열역학 및 통계물리,필수,,교과,김동희[61701],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",자연과학동(201),0,view,,English
373,물리광과학과,PS3106-01,물리실험 I,필수,,교과,"남창희[64167]
장지승[61523]",학사,1/4/3,화 13:00~18:00,,8,view,,English
374,물리광과학과,PS3106-02,물리실험 I,필수,,교과,"남창희[64167]
장지승[61523]",학사,1/4/3,금 13:00~18:00,,8,view,,
375,물리광과학과,PS3107-01,수리물리 I,필수,,교과,박찬용[62936],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",자연과학동(201),0,view,,English
376,물리광과학과,PS4209-01,일반 상대론 개론,선택,,교과,김근영[61666],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",자연과학동(111),0,view,,English/Korean
377,물리광과학과,PS4211-01,고급역학,선택,,교과,박찬용[62936],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",자연과학동(318),0,view,,English
378,물리광과학과,PS4214-01,고급 양자 물리,선택,,교과,양현석[63524],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",자연과학동(201),0,view,,English
379,물리광과학과,PS4218-01,양자정보물리학 입문,선택,,교과,이상윤[63523],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",자연과학동(318),0,view,,English
380,물리광과학과,PS4221-01,나노 및 초전도 물리 개론,선택,,교과,도용주[62331],학사,3/0/3,"월 16:00~17:30
목 16:00~17:30",자연과학동(201),0,view,,English
381,물리광과학과,PS9102-01,학사논문연구 I,연구,,논문연구,,학사,0/0/3,,,0,view,,
382,물리광과학과,PS9103-01,학사논문연구 II,연구,,논문연구,,학사,0/0/3,,,0,view,,
383,인문학·사회과학 부전공,SS3631-01,마음과 컴퓨터,선택,,교과,원치욱[62072],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,20,view,,Korean
384,인문학·사회과학 부전공,SS3767-01,(MOOC 지정) 인공지능 로봇의 윤리,선택,,교과,김건우[61974],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,20,view,,Korean
385,인문학·사회과학 부전공,SS3831-01,과학기술학의 이해: 과학사회논쟁의 쟁점과 윤리,선택,,교과,하대청[62922],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,25,view,,Korean
386,인문학·사회과학 부전공,SS3839-01,질병과 사회,선택,,교과,하대청[62922],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,12,view,,Korean
387,인문학·사회과학 부전공,SS4837-01,과학기술과 사회 연구 세미나,선택,,교과,하대청[62922],학사,3/0/3,"월 17:30~19:00
수 17:30~19:00",,15,view,,Korean
388,대학공통,UC0201-01,사회봉사,선택,,교과,김재관[61196],학사,0/2/1,금 10:00~11:30,,0,view,,Korean
389,대학공통,UC0202-01,창의함양,선택,,교과,고광희[60179],학사,0/2/1,토 09:00~10:00,,0,view,,Korean
390,대학공통,UC0203-01,해외봉사,선택,,교과,김재관[61196],학사,0/2/1,금 17:00~18:30,,0,view,,English
391,대학공통,UC0613-01,기업가정신,선택,,교과,,학사,3/0/3,수 13:00~16:00,,30,view,,Korean
392,대학공통,UC0623-01,고급융합캡스톤디자인,선택,,교과,장효양[64650],학사,1/6/3,화 13:00~16:00,창업센터 B동(508호),30,view,,Korean
393,대학공통,UC0624-01,4차 산업혁명 트렌드 분석,선택,,교과,장현준[63834],학사,3/0/3,화 09:00~12:00,,30,view,,Korean
394,대학공통,UC0901-01,과학기술과 경제,필수,,교과,황인성[64593],학사,1/0/1,화 16:00~17:30,오룡관(303호),200,view,,Korean
395,대학공통,UC0902-01,GIST 전공탐색,필수,,교과,이주형[61430],학사,1/0/1,목 16:00~17:30,,250,view,,English/Korean
396,대학공통,UC9331-01,GIST대학 콜로퀴움,연구,,세미나,이승현[63255],학사,1/0/0,목 16:00~17:30,지스트대학C동(104),200,view,,Korean
